,trial_type,n_back,condition_name,display_trial_feedback,stim,hand,iti_dur,key_hand_dict,start_time,trial_dur
0,False,2_back-,easy,True,18.jpg,left,0.5,key_hand_dict_binary_left,0.0,1.5
1,False,2_back-,easy,True,15.png,left,0.5,key_hand_dict_binary_left,2.0,1.5
2,False,2_back-,easy,True,15.png,left,0.5,key_hand_dict_binary_left,4.0,1.5
3,True,2_back+,hard,True,15.png,left,0.5,key_hand_dict_binary_left,6.0,1.5
4,True,2_back+,hard,True,15.png,left,0.5,key_hand_dict_binary_left,8.0,1.5
5,False,2_back-,easy,True,11.jpg,left,0.5,key_hand_dict_binary_left,10.0,1.5
6,False,2_back-,easy,True,18.jpg,left,0.5,key_hand_dict_binary_left,12.0,1.5
7,True,2_back+,hard,True,11.jpg,left,0.5,key_hand_dict_binary_left,14.0,1.5
8,True,2_back+,hard,True,18.jpg,left,0.5,key_hand_dict_binary_left,16.0,1.5
9,False,2_back-,easy,True,18.jpg,left,0.5,key_hand_dict_binary_left,18.0,1.5
10,True,2_back+,hard,True,18.jpg,left,0.5,key_hand_dict_binary_left,20.0,1.5
11,True,2_back+,hard,True,18.jpg,left,0.5,key_hand_dict_binary_left,22.0,1.5
12,True,2_back+,hard,True,18.jpg,left,0.5,key_hand_dict_binary_left,24.0,1.5
13,False,2_back-,easy,True,18.jpg,left,0.5,key_hand_dict_binary_left,26.0,1.5
14,True,2_back+,hard,True,18.jpg,left,0.5,key_hand_dict_binary_left,28.0,1.5
